SRC,Security_ID,Description,G_Ticker,Y_Ticker
YF,SUN188888,Sun Pharmaceutical Industries Limited,SUNPHARMA:NSE,SUNPHARMA.NS
YF,TAT199090,Tata Motors Limited,TATAMOTORS:NSE,TATAMOTORS.NS
YF,TAT199191,Tata Steel Limited,TATASTEEL:NSE,TATASTEEL.NS
YF,TCS188989,Tata Consultancy Services Limited,TCS:NSE,TCS.NS
YF,TEC199292,Tech Mahindra Limited,TECHM:NSE,TECHM.NS
YF,TIT199393,Titan Company Limited,TITAN:NSE,TITAN.NS
YF,TOR199494,Torrent Pharmaceuticals Limited,TORNTPHARM:NSE,TORNTPHARM.NS
GF,TVS199595,TVS Motor Company Limited,TVSMOTOR:NSE,Dummy
GF,UBL199797,United Breweries Limited,UBL:NSE,Dummy
YF,ULT199696,UltraTech Cement Limited,ULTRACEMCO:NSE,ULTRACEMCO.NS
YF,UPL199898,UPL Limited,UPL:NSE,UPL.NS
YF,VOL199999,Voltas Limited,VOLTAS:NSE,VOLTAS.NS
YF,WIP200000,Wipro Limited,WIPRO:NSE,WIPRO.NS
YF,ZEE200101,Zee Entertainment Enterprises Limited,ZEEL:NSE,ZEEL.NS
